date,ticker,anomaly_flag,ret,ret_z,volz,range_pct,type,why
2019-12-11,META,0,0.006920042282900107,0.45688941310015685,-1.5884246145257965,23.809523809523807,,
2019-12-11,MSFT,0,0.0037715476563033867,0.2096617845206044,-0.05268888984469292,36.507936507936506,,
2019-12-11,NVDA,0,0.015702096558573242,0.6758996149194096,-0.7225359226810745,11.11111111111111,,
2019-12-11,QQQ,0,0.005296852557685527,0.5791080565245229,0.24880553925697568,17.46031746031746,,
2019-12-12,AAPL,0,0.0025482614751468624,-0.05429918151467756,1.8934564389693338,82.53968253968253,,
2019-12-12,AMZN,0,0.00663920342821922,0.7776449127638662,0.6060626363711842,33.33333333333333,,
2019-12-12,META,1,-0.027242204537108128,-2.2376537326812143,3.0648095962110817,96.82539682539682,volume_shock,volz > 2.5; range_pct > 95
2019-12-12,MSFT,0,0.010151527109564906,0.8913175993613865,1.1945033931904434,77.77777777777779,,
2019-12-12,NVDA,0,0.030965424537171105,1.4434983455101058,0.4885359490873241,87.3015873015873,,
2019-12-12,QQQ,0,0.007464240323396432,0.8663338499947022,2.1399963739353436,79.36507936507937,,
2019-12-13,AAPL,0,0.013593380201595506,0.8641127786191811,1.5644502441218358,66.66666666666666,,
2019-12-13,AMZN,0,0.00034646559584494696,0.10386207388650044,-0.1136556558469671,6.349206349206349,,
2019-12-13,META,0,-0.01341813198729258,-1.080164374727046,1.7719285470044628,55.55555555555556,,
2019-12-13,MSFT,0,0.008418322856398763,0.6864868185239241,0.9442603803791949,61.904761904761905,,
2019-12-13,NVDA,0,-0.00035689004272509983,-0.19650887151886157,0.7073860566292213,76.19047619047619,,
2019-12-13,QQQ,0,0.0032929125946192794,0.2832940843580684,1.8387772092995762,63.49206349206349,,
2019-12-16,AAPL,0,0.017117862759222113,1.1493814323301885,1.2908033491106026,44.44444444444444,,
2019-12-16,AMZN,0,0.0046964185941400505,0.5411190858448802,0.6416093006925404,1.5873015873015872,,
2019-12-16,META,0,0.019628120026150775,1.4157907003333274,0.7567574672608953,71.42857142857143,,
2019-12-16,MSFT,0,0.006470900654484302,0.4589824190097239,0.9196243714409851,9.523809523809524,,
2019-12-16,NVDA,0,0.005178634891485512,0.07725533595332747,-0.09867054605599959,11.11111111111111,,
2019-12-16,QQQ,0,0.010038911797503491,1.1728266418108928,0.3095496697331743,11.11111111111111,,
2019-12-17,AAPL,0,0.0019650722863455705,-0.16331507101534232,0.7659704061100663,30.158730158730158,,
2019-12-17,AMZN,0,0.012123992912275838,1.3454716861599514,1.3869069905571845,14.285714285714285,,
2019-12-17,META,0,0.002374677313121021,0.10919978342788837,-0.6790705010947923,28.57142857142857,,
2019-12-17,MSFT,0,-0.005400456814686261,-0.7836465175679775,1.0989971947251007,20.634920634920633,,
2019-12-17,NVDA,0,0.013946314835536544,0.5232379676643583,-0.04877334087024959,15.873015873015872,,
2019-12-17,QQQ,0,0.0005732601044667884,-0.10708805104388068,-0.6115528591252339,0.0,,
2019-12-18,AAPL,0,-0.002389163592020127,-0.5228116426107475,0.7929248646074397,20.634920634920633,,
2019-12-18,AMZN,0,-0.00370251419034362,-0.37141685519602813,0.9738697315859369,22.22222222222222,,
2019-12-18,META,0,0.020716886718626704,1.4658680463055231,2.2686406453554966,60.317460317460316,,
2019-12-18,MSFT,0,-0.002068749857152108,-0.41091945955555165,0.8241482478464056,22.22222222222222,,
2019-12-18,NVDA,0,0.005343937789873854,0.06919923594611255,0.27742393793686226,3.1746031746031744,,
2019-12-18,QQQ,0,0.0007641107128002478,-0.08383341619639575,-0.69424528399045,3.1746031746031744,,
2019-12-19,AAPL,0,0.0010007042118196363,-0.24454251926543152,0.1546256387566786,4.761904761904762,,
2019-12-19,AMZN,0,0.004624344595139496,0.5190024302654261,-0.40018406281396973,38.095238095238095,,
2019-12-19,META,0,0.017580189425860038,1.2061426956933408,0.9112075654758146,49.2063492063492,,
2019-12-19,MSFT,0,0.008680568749390272,0.7672308747202339,0.9417239076299995,61.904761904761905,,
2019-12-19,NVDA,0,0.02592453959798724,1.1088768288684292,1.1298318503866716,49.2063492063492,,
2019-12-19,QQQ,0,0.006251757848407813,0.6478061514823265,-0.2180108569395621,30.158730158730158,,
2019-12-20,AAPL,1,-0.0020712263835079847,-0.5383336196331302,3.7869633392185578,57.14285714285714,volume_shock,volz > 2.5
2019-12-20,AMZN,1,-0.0032249589345579865,-0.3499663386862431,3.398329518825632,41.269841269841265,volume_shock,volz > 2.5
2019-12-20,META,1,0.0011647441056452656,-0.016325520489604933,2.624354068945128,60.317460317460316,volume_shock,volz > 2.5
2019-12-20,MSFT,1,0.010917537147451473,0.9841824568063275,4.352628029788673,71.42857142857143,volume_shock,volz > 2.5
2019-12-20,NVDA,0,0.016606125492606427,0.5942117946943403,1.9870655864632953,4.761904761904762,,
2019-12-20,QQQ,0,0.004031112831701877,0.32263658324030453,1.1096560431157547,26.984126984126984,,
2019-12-23,AAPL,0,0.01631825444953039,1.0686029116504077,-0.032056322731568894,49.2063492063492,,
2019-12-23,AMZN,0,0.0036384504756830083,0.38632381986178127,-1.5300041842145868,0.0,,
2019-12-23,META,0,-0.0005817690082837723,-0.1650620841846079,0.11129660197490802,28.57142857142857,,
2019-12-23,MSFT,0,0.0,-0.22195930329591287,-0.5716812460117175,0.0,,
2019-12-23,NVDA,0,-0.0022977296753212695,-0.3873751193766538,0.3971951393910441,11.11111111111111,,
2019-12-23,QQQ,0,0.002641337097746499,0.1267425814428635,0.7351241270764366,0.0,,
2019-12-24,AAPL,0,0.000951178479294601,-0.293453021860479,-1.9870394939826947,0.0,,
2019-12-24,AMZN,0,-0.00211376350409187,-0.29872647099083466,-5.3980501577879965,0.0,,
2019-12-24,META,0,-0.00514126786342417,-0.5573847332426526,-2.193878498234055,6.349206349206349,,
2019-12-24,MSFT,0,-0.00019060996311237588,-0.2695871296703622,-2.813190248153819,0.0,,
2019-12-24,NVDA,0,-0.0008376008915583766,-0.3228059313335364,-2.208073909936528,0.0,,
2019-12-24,QQQ,0,0.0005191710673146943,-0.2012853270209959,-3.22873523332877,1.5873015873015872,,
2019-12-26,AAPL,0,0.019839860432103062,1.3689984414840946,-0.11684842634919965,85.71428571428571,,
2019-12-26,AMZN,1,0.04446651549531899,5.1751121483266145,2.2751428955766695,98.4126984126984,spike,|ret_z| > 2.5; range_pct > 95
2019-12-26,META,0,0.01301689981910914,0.8505279343983189,-0.7888153655045836,23.809523809523807,,
2019-12-26,MSFT,0,0.008196463516199959,0.6890531174951683,-0.9823987379166436,25.396825396825395,,
2019-12-26,NVDA,0,0.0023887743023380814,-0.1291275947839967,-1.274232079014592,0.0,,
2019-12-26,QQQ,0,0.008824313132458128,0.998445732477208,-0.20759850552376774,47.61904761904761,,
2019-12-27,AAPL,0,-0.00037901948803686913,-0.4220329988553859,1.0640444689418105,87.3015873015873,,
2019-12-27,AMZN,0,0.0005511476895356804,-0.06364848209071718,2.070486277507813,87.3015873015873,,
2019-12-27,META,0,0.001491947837137797,-0.06669414482961351,-0.47222736232473517,20.634920634920633,,
2019-12-27,MSFT,0,0.001827965440433621,-0.03424376644335878,-0.2347876647468608,25.396825396825395,,
2019-12-27,NVDA,0,-0.009699331380272236,-0.7758762784141526,-0.3215227143135503,41.269841269841265,,
2019-12-27,QQQ,0,-0.0008421081595287871,-0.4001250463615087,-0.041015779223666164,46.03174603174603,,
2019-12-30,AAPL,0,0.005934804224674517,0.11702925333607125,0.9594567054202953,92.06349206349206,,
2019-12-30,AMZN,0,-0.012252649580489217,-1.374515328486144,0.5397770091716636,93.65079365079364,,
2019-12-30,META,0,-0.017731835722350264,-1.6014598407856617,-0.39321317790395494,61.904761904761905,,
2019-12-30,MSFT,0,-0.008618465482867821,-1.2515426108741994,-0.5356102109494268,77.77777777777779,,
2019-12-30,NVDA,0,-0.019208672696957918,-1.3314599118636243,-0.24048933694754906,50.79365079365079,,
2019-12-30,QQQ,0,-0.0065537697834568975,-1.2757721493302285,0.4289099493222577,79.36507936507937,,
2019-12-31,AAPL,0,0.007306836703957487,0.26585565263291455,-0.060965965502361566,57.14285714285714,,
2019-12-31,AMZN,0,0.0005143848474418178,-0.05192409966738198,-0.41891297481665946,42.857142857142854,,
2019-12-31,META,0,0.004109435510186277,0.14141006060369815,-0.7895585492421188,9.523809523809524,,
2019-12-31,MSFT,0,0.0006979349121645217,-0.15680342196751057,-0.21535018080178847,26.984126984126984,,
2019-12-31,NVDA,0,0.012827048841943745,0.4322854192708318,-0.5524836147770267,60.317460317460316,,
2019-12-31,QQQ,0,0.0018846882566752043,-0.004305514641238657,-0.09402610763233481,49.2063492063492,,
2020-01-02,AAPL,0,0.022815808672102866,1.6320188592064915,0.6930873891455406,77.77777777777779,,
2020-01-02,AMZN,1,0.02715061035487687,2.610143549806795,0.7243935965406413,85.71428571428571,spike,|ret_z| > 2.5
2020-01-02,META,0,0.022070367652057055,1.5219884350145347,-0.024183939565706872,52.38095238095239,,
2020-01-02,MSFT,0,0.01851590291815408,1.8834187253265617,0.340197689066548,79.36507936507937,,
2020-01-02,NVDA,0,0.019591933843341458,0.7836013431972232,-0.5855164734614524,11.11111111111111,,
2020-01-02,QQQ,0,0.01669718850506574,2.170287422850845,1.3619266276337294,76.19047619047619,,
2020-01-03,AAPL,0,-0.009721686175943711,-1.3636532882126295,0.8631529701695576,52.38095238095239,,
2020-01-03,AMZN,0,-0.012139034655920922,-1.333745111880476,0.5505471101228898,49.2063492063492,,
2020-01-03,META,0,-0.005291087062106348,-0.6378835832108386,-0.23235778613212582,50.79365079365079,,
2020-01-03,MSFT,0,-0.012451910334479233,-1.8152557236043878,0.1627989140347813,60.317460317460316,,
2020-01-03,NVDA,0,-0.01600574081812889,-1.1451303547465648,-0.9383685855676397,22.22222222222222,,
